년도,월,구단명,승,패,볼넷/이닝,BA(타율),OBP(출루율),SLG(장타율),ERA(평균자책점)
2014,3,2,1,1,13/18,0.266,0.385,0.453,9
2014,3,10,1,1,11/17,0.254,0.329,0.366,6.88
2014,3,6,1,1,5/18,0.242,0.338,0.419,6
2014,3,5,1,1,8/17,0.315,0.359,0.479,4.76
2014,3,4,1,1,11/17,0.289,0.389,0.434,4.76
2014,3,3,1,1,7/17,0.242,0.324,0.364,4.24
2014,3,8,1,1,5/18,0.286,0.383,0.514,3.5
2014,3,9,1,1,8/18,0.194,0.265,0.274,3
2014,4,7,15,10,106/231,0.263,0.353,0.421,4.68
2014,4,5,14,8,94/197.1,0.284,0.375,0.465,5.11
2014,4,6,13,10,94/200.2,0.284,0.363,0.421,5.11
2014,4,2,12,10,83/194,0.284,0.361,0.427,4.64
2014,4,8,11,9,83/194,0.278,0.365,0.42,4.78
2014,4,3,10,9,67/167,0.282,0.352,0.429,5.01
2014,4,9,9,13,103/192,0.274,0.337,0.399,6.33
2014,4,10,7,13,91/176.1,0.263,0.365,0.398,6.18
2014,4,4,15,10,87/202.1,0.285,0.371,0.398,5.69
2014,5,2,15,9,84/212,0.337,0.397,0.52,4.64
2014,5,7,15,9,82/210.1,0.307,0.382,0.484,4.68
2014,5,9,10,14,119/217,0.306,0.367,0.483,6.33
2014,5,8,10,14,97/207,0.294,0.382,0.422,4.78
2014,5,10,8,15,111/221.2,0.293,0.356,0.39,6.18
2014,5,3,19,4,72/216,0.292,0.374,0.476,5.01
2014,5,5,11,13,95/208.2,0.282,0.376,0.481,5.11
2014,5,6,9,15,90/214,0.277,0.35,0.407,5.11
2014,5,4,10,14,87/211,0.275,0.351,0.375,5.69
2014,6,8,13,6,56/167.1,0.31,0.38,0.489,4.41
2014,6,7,10,10,72/174.2,0.293,0.357,0.463,4.53
2014,6,4,10,11,46/184.2,0.279,0.352,0.438,4.73
2014,6,3,14,7,73/198,0.322,0.394,0.53,5.14
2014,6,5,13,7,90/182,0.316,0.392,0.553,6.73
2014,6,6,7,14,86/183.2,0.296,0.359,0.429,6.76
2014,6,9,13,9,92/187,0.315,0.383,0.493,7.22
2014,6,2,5,15,63/167,0.267,0.342,0.397,7.38
2014,6,10,7,13,71/173,0.305,0.367,0.447,8.12
2014,7,5,13,6,68/166,0.315,0.401,0.537,5.31
