,rank,name,year,month,bat_avg,at_bat,steerman,score,safety,stroke2,stroke3,homer,ruta,RBI,theft,dormitory,walk,dune,high4,fan,disease,heeta,happiness,on_base,long_hit,OPS
0,1,SK,08,3월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
1,2,롯데,08,3월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
2,3,두산,08,3월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
3,4,히어로즈,08,3월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
4,5,KIA,08,3월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
5,6,삼성,08,3월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
6,7,LG,08,3월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
7,8,한화,08,3월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
8,1,SK,08,4월,.282,5003,4332,632,1222,215,23,89,1750,591,170,83,491,62,15,735,99,80,38,.361,.404,.765
9,2,롯데,08,4월,.282,4890,4256,624,1200,199,22,93,1722,590,133,68,445,76,13,728,97,62,51,.357,.405,.761
10,3,두산,08,4월,.276,4975,4344,647,1198,166,37,68,1642,598,189,63,472,78,23,719,115,36,44,.354,.378,.732
11,4,히어로즈,08,4월,.266,4834,4317,499,1149,190,19,70,1587,471,97,57,396,37,20,713,114,51,33,.331,.368,.698
12,5,KIA,08,4월,.260,4832,4210,503,1095,188,28,48,1483,465,131,65,453,48,14,642,97,85,35,.336,.352,.689
13,6,삼성,08,4월,.258,4859,4180,557,1078,187,15,92,1571,520,59,37,505,65,15,699,115,70,38,.344,.376,.720
14,7,LG,08,4월,.256,4743,4184,468,1070,164,23,66,1478,447,111,45,364,59,6,765,90,85,50,.321,.353,.674
15,8,한화,08,4월,.254,4882,4275,592,1086,204,20,120,1690,566,97,25,463,57,17,770,100,52,35,.333,.395,.728
