,team,year,month,pov
469,1,2015,3,0.4
479,1,2015,4,0.318
489,1,2015,5,0.444
499,1,2015,6,0.435
511,1,2015,7,0.389
521,1,2015,8,0.4
531,1,2015,9,0.364
541,1,2015,10,0.333
551,1,2016,3,0.6
561,1,2016,4,0.52
571,1,2016,5,0.364
581,1,2016,6,0.458
593,1,2016,7,0.6
603,1,2016,8,0.391
613,1,2016,9,0.391
623,1,2016,10,0.4
635,1,2017,3,0.727
645,1,2017,4,0.52
655,1,2017,5,0.385
665,1,2017,6,0.36
677,1,2017,7,0.316
687,1,2017,8,0.417
697,1,2017,9,0.571
707,1,2017,10,0.667
717,1,2018,3,0.615
727,1,2018,4,0.542
737,1,2018,5,0.292
747,1,2018,6,0.435
759,1,2018,7,0.65
769,1,2018,8,0.385
779,1,2018,9,0.318
789,1,2018,10,1.0
802,1,2019,3,0.154
812,1,2019,4,0.417
822,1,2019,5,0.692
832,1,2019,6,0.417
844,1,2019,7,0.556
854,1,2019,8,0.583
864,1,2019,9,0.556
880,1,2020,5,0.304
890,1,2020,6,0.44
900,1,2020,7,0.619
910,1,2020,8,0.696
920,1,2020,9,0.577
930,1,2020,10,0.52
935,1,2020,11,0.25
945,1,2021,3,0.5
955,1,2021,4,0.435
965,1,2021,5,0.545
975,1,2021,6,0.696
985,1,2021,7,0.714
995,1,2021,8,0.529
1005,1,2021,9,0.545
1015,1,2021,10,0.364
1020,1,2021,11,1.0
1030,1,2022,3,0.625
1040,1,2022,4,0.5
1050,1,2022,5,0.423
1060,1,2022,6,0.714
466,2,2015,3,0.75
476,2,2015,4,0.636
484,2,2015,5,0.565
496,2,2015,6,0.565
505,2,2015,7,0.571
516,2,2015,8,0.625
526,2,2015,9,0.56
536,2,2015,10,0.667
546,2,2016,3,0.846
557,2,2016,4,0.696
566,2,2016,5,0.64
576,2,2016,6,0.64
587,2,2016,7,0.476
599,2,2016,8,0.417
609,2,2016,9,0.591
620,2,2016,10,1.0
625,2,2016,11,1.0
630,2,2017,3,0.545
641,2,2017,4,0.417
650,2,2017,5,0.522
662,2,2017,6,0.56
672,2,2017,7,0.737
682,2,2017,8,0.538
692,2,2017,9,0.476
703,2,2017,10,0.273
712,2,2018,3,0.615
724,2,2018,4,0.652
733,2,2018,5,0.522
742,2,2018,6,0.615
755,2,2018,7,0.714
764,2,2018,8,0.615
776,2,2018,9,0.625
786,2,2018,10,0.571
791,2,2018,11,0.333
798,2,2019,3,0.533
808,2,2019,4,0.542
818,2,2019,5,0.577
827,2,2019,6,0.56
839,2,2019,7,0.471
850,2,2019,8,0.667
859,2,2019,9,0.667
868,2,2019,10,0.8
875,2,2020,5,0.609
885,2,2020,6,0.48
896,2,2020,7,0.565
906,2,2020,8,0.409
915,2,2020,9,0.5
926,2,2020,10,0.652
933,2,2020,11,0.583
941,2,2021,3,0.5
951,2,2021,4,0.565
960,2,2021,5,0.545
970,2,2021,6,0.32
981,2,2021,7,0.2
991,2,2021,8,0.357
1001,2,2021,9,0.708
1010,2,2021,10,0.565
1017,2,2021,11,0.182
1026,2,2022,3,0.111
1035,2,2022,4,0.542
1045,2,2022,5,0.333
1056,2,2022,6,0.25
468,3,2015,3,0.467
478,3,2015,4,0.652
488,3,2015,5,0.52
498,3,2015,6,0.429
509,3,2015,7,0.476
520,3,2015,8,0.5
530,3,2015,9,0.542
540,3,2015,10,0.625
550,3,2016,3,0.688
560,3,2016,4,0.478
570,3,2016,5,0.5
580,3,2016,6,0.385
591,3,2016,7,0.412
602,3,2016,8,0.391
612,3,2016,9,0.609
622,3,2016,10,0.6
634,3,2017,3,0.167
644,3,2017,4,0.304
654,3,2017,5,0.6
664,3,2017,6,0.6
675,3,2017,7,0.524
686,3,2017,8,0.417
696,3,2017,9,0.333
706,3,2017,10,0.0
716,3,2018,3,0.385
726,3,2018,4,0.333
736,3,2018,5,0.6
746,3,2018,6,0.458
757,3,2018,7,0.7
768,3,2018,8,0.385
778,3,2018,9,0.522
788,3,2018,10,0.25
801,3,2019,3,0.188
811,3,2019,4,0.318
821,3,2019,5,0.577
831,3,2019,6,0.458
842,3,2019,7,0.444
853,3,2019,8,0.364
863,3,2019,9,0.348
879,3,2020,5,0.667
889,3,2020,6,0.48
899,3,2020,7,0.545
909,3,2020,8,0.435
919,3,2020,9,0.5
929,3,2020,10,0.524
944,3,2021,3,0.25
954,3,2021,4,0.625
964,3,2021,5,0.565
974,3,2021,6,0.6
984,3,2021,7,0.714
994,3,2021,8,0.4
1004,3,2021,9,0.619
1014,3,2021,10,0.429
1019,3,2021,11,0.5
1029,3,2022,3,0.6
1039,3,2022,4,0.4
1049,3,2022,5,0.6
1059,3,2022,6,0.625
460,4,2015,3,0.2
470,4,2015,4,0.565
480,4,2015,5,0.4
490,4,2015,6,0.435
500,4,2015,7,0.526
512,4,2015,8,0.44
522,4,2015,9,0.45
532,4,2015,10,0.5
542,4,2016,3,0.467
552,4,2016,4,0.545
562,4,2016,5,0.455
572,4,2016,6,0.44
582,4,2016,7,0.364
594,4,2016,8,0.654
604,4,2016,9,0.6
614,4,2016,10,0.4
626,4,2017,3,0.455
636,4,2017,4,0.52
646,4,2017,5,0.417
656,4,2017,6,0.435
666,4,2017,7,0.526
678,4,2017,8,0.435
688,4,2017,9,0.375
698,4,2017,10,0.5
708,4,2018,3,0.429
718,4,2018,4,0.583
728,4,2018,5,0.462
738,4,2018,6,0.652
748,4,2018,7,0.5
760,4,2018,8,0.462
770,4,2018,9,0.417
780,4,2018,10,0.5
793,4,2019,3,0.692
803,4,2019,4,0.591
813,4,2019,5,0.5
823,4,2019,6,0.583
833,4,2019,7,0.5
845,4,2019,8,0.458
855,4,2019,9,0.524
865,4,2019,10,0.6
871,4,2020,5,0.565
881,4,2020,6,0.48
891,4,2020,7,0.522
901,4,2020,8,0.542
911,4,2020,9,0.478
921,4,2020,10,0.591
931,4,2020,11,0.333
936,4,2021,3,0.429
946,4,2021,4,0.565
956,4,2021,5,0.458
966,4,2021,6,0.625
976,4,2021,7,0.5
986,4,2021,8,0.5
996,4,2021,9,0.381
1006,4,2021,10,0.45
1016,4,2021,11,0.667
1021,4,2022,3,0.636
1031,4,2022,4,0.56
1041,4,2022,5,0.538
1051,4,2022,6,0.286
799,5,2019,3,0.5
809,5,2019,4,0.5
819,5,2019,5,0.407
829,5,2019,6,0.76
840,5,2019,7,0.632
851,5,2019,8,0.5
861,5,2019,9,0.533
