,year,month,win_rate[한화],win_rate[KIA],win_rate[SK],win_rate[두산],win_rate[삼성],win_rate[우리],win_rate[롯데],win_rate[LG],win_rate[히어로즈],win_rate[넥센],win_rate[EAST],win_rate[WEST],win_rate[NC],win_rate[KT],win_rate[드림],win_rate[나눔],win_rate[키움],win_rate[SSG]
0,2008,03,0.0,,,,,,,,,,,,,,,,,
1,2008,03,,0.0,,,,,,,,,,,,,,,,
2,2008,03,,,0.5,,,,,,,,,,,,,,,
3,2008,03,,,,1.0,,,,,,,,,,,,,,
4,2008,03,,,,,1.0,,,,,,,,,,,,,
5,2008,03,,,,,,0.0,,,,,,,,,,,,
6,2008,03,,,,,,,1.0,,,,,,,,,,,
7,2008,03,,,,,,,,0.5,,,,,,,,,,
8,2008,04,0.615,,,,,,,,,,,,,,,,,
9,2008,04,,0.32,,,,,,,,,,,,,,,,
10,2008,04,,,0.75,,,,,,,,,,,,,,,
11,2008,04,,,,0.417,,,,,,,,,,,,,,
12,2008,04,,,,,0.44,,,,,,,,,,,,,
13,2008,04,,,,,,0.423,,,,,,,,,,,,
14,2008,04,,,,,,,0.682,,,,,,,,,,,
15,2008,04,,,,,,,,0.385,,,,,,,,,,
16,2008,05,0.64,,,,,,,,,,,,,,,,,
17,2008,05,,0.48,,,,,,,,,,,,,,,,
18,2008,05,,,0.44,,,,,,,,,,,,,,,
19,2008,05,,,,0.625,,,,,,,,,,,,,,
20,2008,05,,,,,0.5,,,,,,,,,,,,,
21,2008,05,,,,,,0.48,,,,,,,,,,,,
22,2008,05,,,,,,,0.48,,,,,,,,,,,
23,2008,05,,,,,,,,0.37,,,,,,,,,,
24,2008,06,0.435,,,,,,,,,,,,,,,,,
25,2008,06,,0.565,,,,,,,,,,,,,,,,
26,2008,06,,,0.727,,,,,,,,,,,,,,,
27,2008,06,,,,0.455,,,,,,,,,,,,,,
28,2008,06,,,,,0.478,,,,,,,,,,,,,
29,2008,06,,,,,,0.524,,,,,,,,,,,,
30,2008,06,,,,,,,0.5,,,,,,,,,,,
31,2008,06,,,,,,,,0.318,,,,,,,,,,
32,2008,07,0.538,,,,,,,,,,,,,,,,,
33,2008,07,,0.636,,,,,,,,,,,,,,,,
34,2008,07,,,0.389,,,,,,,,,,,,,,,
35,2008,07,,,,0.476,,,,,,,,,,,,,,
36,2008,07,,,,,0.565,,,,,,,,,,,,,
37,2008,07,,,,,,0.5,,,,,,,,,,,,
38,2008,07,,,,,,,0.391,,,,,,,,,,,
39,2008,07,,,,,,,,0.476,,,,,,,,,,
40,2008,08,0.667,,,,,,,,,,,,,,,,,
41,2008,08,,0.5,,,,,,,,,,,,,,,,
42,2008,08,,,0.667,,,,,,,,,,,,,,,
43,2008,08,,,,0.333,,,,,,,,,,,,,,
44,2008,08,,,,,0.5,,,,,,,,,,,,,
45,2008,08,,,,,,0.167,,,,,,,,,,,,
46,2008,08,,,,,,,0.667,,,,,,,,,,,
47,2008,08,,,,,,,,0.5,,,,,,,,,,
48,2008,09,0.353,,,,,,,,,,,,,,,,,
49,2008,09,,0.4,,,,,,,,,,,,,,,,
50,2008,09,,,0.75,,,,,,,,,,,,,,,
51,2008,09,,,,0.542,,,,,,,,,,,,,,
52,2008,09,,,,,0.526,,,,,,,,,,,,,
53,2008,09,,,,,,0.318,,,,,,,,,,,,
54,2008,09,,,,,,,0.565,,,,,,,,,,,
55,2008,09,,,,,,,,0.474,,,,,,,,,,
56,2008,10,1.0,,,,,,,,,,,,,,,,,
57,2008,10,,0.667,,,,,,,,,,,,,,,,
58,2008,10,,,0.4,,,,,,,,,,,,,,,
59,2008,10,,,,0.0,,,,,,,,,,,,,,
60,2008,10,,,,,0.5,,,,,,,,,,,,,
61,2008,10,,,,,,0.8,,,,,,,,,,,,
62,2008,10,,,,,,,0.333,,,,,,,,,,,
63,2008,10,,,,,,,,0.667,,,,,,,,,,
64,2009,04,0.474,,,,,,,,,,,,,,,,,
65,2009,04,,0.364,,,,,,,,,,,,,,,,
66,2009,04,,,0.6,,,,,,,,,,,,,,,
67,2009,04,,,,0.444,,,,,,,,,,,,,,
68,2009,04,,,,,0.591,,,,,,,,,,,,,
69,2009,04,,,,,,,,,0.545,,,,,,,,,
70,2009,04,,,,,,,0.435,,,,,,,,,,,
71,2009,04,,,,,,,,0.545,,,,,,,,,,
72,2009,05,0.375,,,,,,,,,,,,,,,,,
73,2009,05,,0.52,,,,,,,,,,,,,,,,
74,2009,05,,,0.615,,,,,,,,,,,,,,,
75,2009,05,,,,0.538,,,,,,,,,,,,,,
76,2009,05,,,,,0.481,,,,,,,,,,,,,
77,2009,05,,,,,,,,,0.52,,,,,,,,,
78,2009,05,,,,,,,0.577,,,,,,,,,,,
79,2009,05,,,,,,,,0.36,,,,,,,,,,
80,2009,06,0.44,,,,,,,,,,,,,,,,,
81,2009,06,,0.545,,,,,,,,,,,,,,,,
82,2009,06,,,0.583,,,,,,,,,,,,,,,
83,2009,06,,,,0.44,,,,,,,,,,,,,,
84,2009,06,,,,,0.375,,,,,,,,,,,,,
85,2009,06,,,,,,,,,0.458,,,,,,,,,
86,2009,06,,,,,,,0.64,,,,,,,,,,,
87,2009,06,,,,,,,,0.52,,,,,,,,,,
88,2009,07,0.381,,,,,,,,,,,,,,,,,
89,2009,07,,0.611,,,,,,,,,,,,,,,,
90,2009,07,,,0.25,,,,,,,,,,,,,,,
91,2009,07,,,,0.474,,,,,,,,,,,,,,
92,2009,07,,,,,0.7,,,,,,,,,,,,,
93,2009,07,,,,,,,,,0.444,,,,,,,,,
94,2009,07,,,,,,,0.667,,,,,,,,,,,
95,2009,07,,,,,,,,0.474,,,,,,,,,,
96,2009,08,0.565,,,,,,,,,,,,,,,,,
97,2009,08,,0.667,,,,,,,,,,,,,,,,
98,2009,08,,,0.522,,,,,,,,,,,,,,,
99,2009,08,,,,0.292,,,,,,,,,,,,,,
100,2009,08,,,,,0.375,,,,,,,,,,,,,
101,2009,08,,,,,,,,,0.636,,,,,,,,,
102,2009,08,,,,,,,0.5,,,,,,,,,,,
103,2009,08,,,,,,,,0.458,,,,,,,,,,
104,2009,09,0.389,,,,,,,,,,,,,,,,,
105,2009,09,,0.722,,,,,,,,,,,,,,,,
106,2009,09,,,0.786,,,,,,,,,,,,,,,
107,2009,09,,,,0.526,,,,,,,,,,,,,,
108,2009,09,,,,,0.5,,,,,,,,,,,,,
109,2009,09,,,,,,,,,0.286,,,,,,,,,
110,2009,09,,,,,,,0.5,,,,,,,,,,,
111,2009,09,,,,,,,,0.357,,,,,,,,,,
112,2010,03,0.385,,,,,,,,,,,,,,,,,
113,2010,03,,0.562,,,,,,,,,,,,,,,,
114,2010,03,,,0.571,,,,,,,,,,,,,,,
115,2010,03,,,,0.5,,,,,,,,,,,,,,
116,2010,03,,,,,0.529,,,,,,,,,,,,,
117,2010,03,,,,,,,,,,0.333,,,,,,,,
118,2010,03,,,,,,,0.733,,,,,,,,,,,
119,2010,03,,,,,,,,0.357,,,,,,,,,,
120,2010,04,0.542,,,,,,,,,,,,,,,,,
121,2010,04,,0.455,,,,,,,,,,,,,,,,
122,2010,04,,,0.739,,,,,,,,,,,,,,,
123,2010,04,,,,0.524,,,,,,,,,,,,,,
124,2010,04,,,,,0.522,,,,,,,,,,,,,
125,2010,04,,,,,,,,,,0.292,,,,,,,,
126,2010,04,,,,,,,0.48,,,,,,,,,,,
127,2010,04,,,,,,,,0.45,,,,,,,,,,
128,2010,05,0.478,,,,,,,,,,,,,,,,,
129,2010,05,,0.5,,,,,,,,,,,,,,,,
130,2010,05,,,0.478,,,,,,,,,,,,,,,
131,2010,05,,,,0.6,,,,,,,,,,,,,,
132,2010,05,,,,,0.522,,,,,,,,,,,,,
133,2010,05,,,,,,,,,,0.417,,,,,,,,
134,2010,05,,,,,,,0.565,,,,,,,,,,,
135,2010,05,,,,,,,,0.44,,,,,,,,,,
136,2010,06,0.346,,,,,,,,,,,,,,,,,
137,2010,06,,0.5,,,,,,,,,,,,,,,,
138,2010,06,,,0.652,,,,,,,,,,,,,,,
139,2010,06,,,,0.5,,,,,,,,,,,,,,
140,2010,06,,,,,0.52,,,,,,,,,,,,,
141,2010,06,,,,,,,,,,0.5,,,,,,,,
142,2010,06,,,,,,,0.364,,,,,,,,,,,
143,2010,06,,,,,,,,0.615,,,,,,,,,,
144,2010,07,,,,,,,,,,,1.0,,,,,,,
145,2010,07,0.5,,,,,,,,,,,,,,,,,
146,2010,07,,0.278,,,,,,,,,,,,,,,,
147,2010,07,,,,,,,,,,,,0.0,,,,,,
148,2010,07,,,0.619,,,,,,,,,,,,,,,
149,2010,07,,,,0.632,,,,,,,,,,,,,,
150,2010,07,,,,,0.81,,,,,,,,,,,,,
151,2010,07,,,,,,,,,,0.25,,,,,,,,
152,2010,07,,,,,,,0.389,,,,,,,,,,,
153,2010,07,,,,,,,,0.476,,,,,,,,,,
154,2010,08,0.545,,,,,,,,,,,,,,,,,
155,2010,08,,0.5,,,,,,,,,,,,,,,,
156,2010,08,,,0.429,,,,,,,,,,,,,,,
157,2010,08,,,,0.476,,,,,,,,,,,,,,
158,2010,08,,,,,0.524,,,,,,,,,,,,,
159,2010,08,,,,,,,,,,0.409,,,,,,,,
160,2010,08,,,,,,,0.636,,,,,,,,,,,
161,2010,08,,,,,,,,0.474,,,,,,,,,,
162,2010,09,0.385,,,,,,,,,,,,,,,,,
