,name,year,month,era,bs_trip,selection,complete,shut_down,win,group,count,hold,innings,loss,blame,hitter,steersman,safety,stroke2,stroke3,homer,walk,high4,dune,fan,pitching,WHIP,bit_avg,on_base_per,OPS
0,1,15,3,8.28,17,3,0,0,0,3,0,0,25.0,25,23,124,107,35,11,0,6,13,0,2,22,532,1.92,.327,.410,1.008
1,4,15,3,6.46,14,3,0,0,0,3,2,0,23.2,17,17,111,93,27,3,1,5,14,1,1,19,417,1.73,.290,.385,.891
2,7,15,3,5.63,10,2,0,0,0,2,0,0,16.0,13,10,72,64,19,0,1,4,6,1,0,5,260,1.56,.297,.347,.863
3,8,15,3,5.04,17,3,0,0,3,0,5,1,25.0,14,14,115,95,28,4,0,2,17,2,1,19,482,1.80,.295,.404,.804
4,6,15,3,4.76,10,2,0,0,1,1,1,1,17.0,9,9,82,72,21,3,0,1,9,0,1,9,353,1.77,.292,.378,.753
5,3,15,3,4.67,15,3,0,0,2,1,3,1,27.0,14,14,115,97,21,7,1,1,14,0,1,21,473,1.30,.217,.319,.659
6,5,15,3,3.86,15,2,0,0,1,1,0,0,21.0,9,9,95,74,19,4,0,1,13,0,3,16,354,1.52,.257,.385,.736
7,10,15,3,3.54,11,2,0,0,1,1,2,1,20.1,8,8,85,73,15,4,0,2,10,0,2,14,349,1.23,.206,.318,.660
8,9,15,3,3.50,11,2,0,0,2,0,1,1,18.0,7,7,77,68,22,7,1,0,7,0,0,12,327,1.61,.324,.382,.838
9,2,15,3,2.50,8,2,0,0,2,0,3,1,18.0,5,5,76,67,18,3,0,0,6,0,1,9,290,1.33,.269,.329,.642
10,1,15,4,5.52,101,22,0,0,3,19,1,1,195.2,134,120,909,755,222,37,3,28,129,4,9,151,3775,1.79,.294,.401,.864
11,7,15,4,5.41,108,22,0,0,10,12,10,4,193.0,125,116,849,720,187,41,3,22,79,1,21,149,3349,1.38,.260,.344,.761
12,10,15,4,5.06,109,22,0,0,12,10,10,7,195.2,123,110,889,746,200,27,0,22,102,4,19,164,3558,1.54,.268,.368,.761
13,2,15,4,4.84,96,22,1,1,14,8,9,3,201.0,119,108,890,750,194,33,4,24,107,1,9,199,3535,1.50,.259,.356,.765
14,5,15,4,4.79,94,23,0,0,12,11,8,4,203.0,116,108,889,780,202,35,5,22,84,0,11,209,3590,1.41,.259,.338,.739
15,9,15,4,4.77,99,23,0,0,10,13,12,3,209.1,119,111,939,797,218,55,9,26,105,8,18,161,3663,1.54,.274,.368,.831
16,8,15,4,4.55,96,22,1,0,11,11,6,4,194.0,105,98,840,750,205,36,0,21,65,4,8,170,3399,1.39,.273,.335,.740
17,4,15,4,4.24,99,23,0,0,13,10,5,5,206.0,107,97,889,771,206,39,4,22,79,3,17,159,3440,1.38,.267,.346,.759
18,6,15,4,4.06,94,22,0,0,12,10,10,5,192.2,98,87,821,723,175,37,0,21,71,4,11,174,3214,1.28,.242,.318,.698
19,3,15,4,3.61,94,23,0,0,15,8,12,5,204.2,88,82,856,766,192,37,4,21,57,2,14,202,3379,1.22,.251,.311,.703
20,2,15,5,5.75,105,23,1,1,12,11,9,5,203.1,137,130,930,799,230,41,2,24,91,3,16,162,3596,1.58,.288,.368,.802
21,1,15,5,5.72,134,27,0,0,7,20,9,3,240.2,183,153,1099,936,273,46,10,27,108,4,19,211,4387,1.58,.292,.372,.821
22,4,15,5,5.61,111,26,0,0,8,17,1,2,231.0,151,144,1035,901,267,49,6,26,94,4,19,208,4034,1.56,.296,.372,.822
23,10,15,5,5.47,146,27,0,0,13,14,12,7,237.0,155,144,1099,924,269,51,0,25,131,9,16,178,4261,1.69,.291,.385,.813
24,8,15,5,5.29,120,27,0,0,14,13,11,4,240.0,153,141,1085,934,271,60,3,32,108,7,21,206,4364,1.58,.290,.374,.837
25,5,15,5,5.06,103,27,0,0,15,11,12,7,243.2,151,137,1083,939,259,47,6,32,103,3,15,209,4248,1.49,.276,.354,.795
26,9,15,5,4.46,102,25,0,0,12,13,9,5,218.0,117,108,960,806,222,34,4,24,100,5,24,178,3746,1.48,.275,.369,.786
27,6,15,5,4.28,101,25,0,0,12,12,11,7,223.0,115,106,973,852,212,46,0,27,92,5,10,208,3927,1.36,.249,.327,.725
28,3,15,5,4.01,95,25,1,0,14,11,10,7,220.0,107,98,927,836,214,47,2,31,65,1,13,210,3695,1.27,.256,.317,.745
29,7,15,5,3.41,120,26,0,0,20,5,14,10,235.0,97,89,1003,867,209,31,3,18,92,4,22,199,4013,1.28,.241,.328,.674
30,8,15,6,5.98,77,21,1,1,6,15,4,1,182.0,144,121,840,763,243,33,2,32,58,2,5,136,3205,1.65,.319,.367,.860
31,1,15,6,5.93,98,23,1,0,11,12,4,3,202.0,152,133,938,822,254,51,2,24,85,2,12,179,3675,1.68,.309,.379,.843
32,3,15,6,5.06,85,21,1,0,11,10,6,2,185.0,111,104,801,714,189,43,1,26,63,0,6,160,3082,1.36,.265,.328,.765
33,6,15,6,4.81,88,22,1,1,10,12,7,4,196.2,115,105,881,770,222,45,3,18,72,6,14,173,3383,1.50,.288,.355,.780
34,7,15,6,4.63,98,22,0,0,11,11,9,4,190.2,108,98,850,758,213,39,3,20,66,1,14,157,3340,1.46,.281,.348,.767
35,2,15,6,4.46,95,23,1,0,12,11,11,3,203.2,104,101,885,779,208,46,5,22,78,1,9,166,3441,1.40,.267,.339,.763
36,5,15,6,4.33,88,21,0,0,12,9,4,1,187.0,101,90,815,711,191,25,2,26,74,0,13,158,3238,1.42,.269,.345,.765
37,9,15,6,4.32,78,20,1,1,11,9,12,7,175.0,86,84,747,655,173,28,4,18,68,0,12,124,2956,1.38,.264,.342,.744
38,4,15,6,3.81,86,23,2,1,13,10,11,6,205.1,97,87,886,783,210,35,5,15,66,5,22,179,3413,1.34,.268,.341,.724
39,10,15,6,3.67,88,22,1,0,12,10,7,6,196.1,100,80,850,736,180,30,1,28,87,4,9,152,3386,1.36,.245,.330,.732
40,1,15,7,5.73,76,18,1,0,8,10,4,3,154.0,106,98,690,613,194,29,4,21,52,0,9,111,2569,1.60,.317,.375,.855
41,10,15,7,5.53,100,20,0,0,10,10,6,4,179.0,120,110,810,694,192,27,2,28,88,9,14,122,3212,1.56,.277,.367,.809
42,2,15,7,5.39,91,21,0,0,11,10,4,4,187.0,117,112,845,733,220,42,3,16,76,2,13,145,3172,1.58,.300,.373,.804
43,3,15,7,5.31,87,21,0,0,14,7,5,3,188.0,122,111,845,746,212,42,4,34,71,1,11,169,3384,1.51,.284,.353,.841
44,4,15,7,5.10,96,19,0,0,7,12,6,2,169.1,103,96,749,645,177,32,3,18,65,7,15,139,2917,1.43,.274,.352,.769
45,9,15,7,5.09,104,22,0,0,10,12,7,3,196.1,133,111,902,770,234,44,5,18,93,3,13,147,3438,1.67,.304,.384,.828
46,5,15,7,5.06,83,20,0,0,12,8,7,8,181.1,119,102,794,706,200,34,4,16,60,1,6,139,3001,1.43,.283,.339,.750
47,7,15,7,4.84,83,20,0,0,8,11,4,3,180.1,104,97,792,682,192,38,3,25,62,5,23,144,2989,1.41,.282,.358,.814
48,6,15,7,4.61,83,19,1,0,9,9,6,5,175.2,95,90,765,679,197,33,1,24,62,6,9,142,2954,1.47,.290,.356,.804
49,8,15,7,3.95,100,22,1,0,11,11,10,2,202.2,93,89,876,764,211,38,3,15,72,7,16,167,3434,1.40,.276,.348,.741
50,8,15,8,6.14,93,23,0,0,9,14,3,3,200.2,148,137,917,806,256,41,0,30,70,0,19,136,3421,1.63,.318,.382,.862
51,6,15,8,5.74,120,25,1,1,9,16,10,3,221.0,148,141,1004,872,264,51,5,33,102,6,10,214,3912,1.66,.303,.380,.866
52,5,15,8,5.65,95,25,0,0,11,14,4,1,220.0,153,138,1006,879,264,44,8,23,96,0,17,184,3851,1.64,.300,.378,.825
53,3,15,8,5.48,91,24,1,0,15,9,8,7,216.2,138,132,980,872,258,52,3,31,82,4,12,201,3910,1.57,.296,.363,.832
54,1,15,8,5.41,108,25,0,0,14,11,7,2,224.2,145,135,1027,879,258,45,2,24,103,2,24,184,4041,1.61,.294,.380,.812
55,10,15,8,4.96,104,25,3,2,9,16,2,2,219.2,129,121,974,832,228,47,5,20,107,9,17,144,3900,1.53,.274,.367,.781
56,9,15,8,4.92,101,24,0,0,11,13,14,7,210.1,119,115,928,812,236,40,4,28,74,3,14,143,3546,1.47,.291,.356,.809
57,4,15,8,4.52,103,25,0,0,11,14,13,5,223.0,128,112,966,846,232,37,2,23,80,5,15,166,3696,1.40,.274,.345,.750
58,2,15,8,3.96,104,24,0,0,14,10,9,5,216.0,107,95,944,810,213,36,5,17,93,5,14,188,3739,1.42,.263,.347,.730
59,7,15,8,3.33,91,24,0,0,19,5,9,12,216.0,86,80,884,790,185,37,2,22,59,1,16,195,3535,1.13,.234,.298,.668
60,2,15,9,6.52,108,25,0,0,11,14,9,8,221.0,177,160,1039,884,276,43,3,34,116,2,12,161,4120,1.77,.312,.396,.879
61,10,15,9,6.31,104,23,1,1,10,13,4,4,206.2,154,145,962,801,243,42,4,29,115,3,19,131,3758,1.73,.303,.396,.871
62,9,15,9,5.24,106,23,0,0,10,13,7,6,201.0,129,117,903,777,214,34,4,26,93,2,10,188,3602,1.53,.275,.357,.787
63,1,15,9,5.23,103,22,1,0,8,14,6,3,186.0,116,108,850,751,246,45,2,21,77,2,8,153,3292,1.74,.328,.393,.869
